  14   2 2.20+01 3.65-01 4.97-01 6.25-01 7.08-01 8.18-01 1.03+00 1.23+00 1.52+00 1.83+00 1.97+00 2.06+00
  15   2 8.82-07 4.66-02 7.96-02 1.14-01 1.29-01 1.34-01 1.25-01 1.05-01 7.94-02 4.42-02 2.51-02 1.34-02
  16   2 8.07+07 1.92-01 2.66-01 3.82-01 5.10-01 7.34-01 1.43+00 2.63+00 4.68+00 9.33+00 1.38+01 1.88+01
  17   2 1.40+02 4.21-02 7.12-02 1.19-01 1.65-01 2.25-01 3.51-01 4.85-01 6.23-01 7.62-01 8.25-01 8.61-01
  18   2 1.01-06 5.38-02 6.93-02 7.79-02 7.74-02 7.05-02 5.13-02 3.51-02 2.20-02 1.05-02 5.60-03 2.90-03
  19   2 2.16+00 3.24-02 5.54-02 9.05-02 1.16-01 1.35-01 1.38-01 1.18-01 8.88-02 4.92-02 2.79-02 1.50-02
  20   2 2.11+07 4.47-03 8.55-03 2.06-02 4.03-02 7.78-02 1.71-01 2.88-01 4.55-01 7.55-01 1.03+00 1.31+00
  21   2 9.44-03 1.74-10 2.35-10 3.56-10 5.03-10 6.79-10 9.01-10 1.05-09 1.20-09 1.45-09 1.66-09 1.86-09
  22   2 3.89+02 6.71-02 9.31-02 1.49-01 2.22-01 3.18-01 4.63-01 5.67-01 6.52-01 7.29-01 7.68-01 7.98-01
  23   2 3.35-05 3.50-10 5.00-10 8.43-10 1.31-09 1.98-09 3.17-09 4.23-09 5.38-09 7.04-09 8.38-09 9.71-09
  24   2 2.46+07 1.02-01 1.54-01 2.82-01 4.74-01 8.09-01 1.59+00 2.53+00 3.82+00 5.98+00 7.82+00 9.67+00
  25   2 7.65+02 9.68-03 1.43-02 2.55-02 4.14-02 6.60-02 1.12-01 1.53-01 1.93-01 2.41-01 2.77-01 3.13-01
  26   2 4.27-06 1.21-11 2.13-11 4.75-11 9.06-11 1.74-10 3.78-10 6.17-10 9.07-10 1.27-09 1.46-09 1.59-09
  27   2 4.87+00 7.26-09 1.03-08 1.69-08 2.60-08 3.97-08 6.64-08 9.46-08 1.31-07 1.90-07 2.43-07 3.02-07
  28   2 1.00-30 1.00-30 1.00-30 1.00-30 1.00-30 1.00-30 1.00-30 1.00-30 1.00-30 1.00-30 1.00-30 1.00-30
   4   3 1.41-04 2.98-01 8.12-01 1.36+00 1.43+00 1.28+00 9.11-01 6.20-01 3.86-01 1.78-01 9.32-02 4.78-02
   5   3 3.52+07 5.28-01 1.27+00 2.37+00 3.38+00 4.99+00 8.97+00 1.41+01 2.11+01 3.16+01 4.01+01 4.89+01
   6   3 3.68+03 1.42+00 2.30+00 2.91+00 3.02+00 3.11+00 3.28+00 3.48+00 3.73+00 3.93+00 4.01+00 4.05+00
   7   3 7.46-09 5.45-01 1.16+00 1.73+00 1.79+00 1.59+00 1.15+00 8.01-01 5.22-01 2.51-01 1.34-01 6.91-02
   8   3 9.74-01 1.95-01 5.11-01 9.88-01 1.24+00 1.32+00 1.19+00 9.68-01 7.06-01 3.62-01 1.97-01 1.03-01
   9   3 2.14+01 2.86-01 7.40-01 1.54+00 2.35+00 3.50+00 5.44+00 6.92+00 8.27+00 9.35+00 9.76+00 9.98+00
  10   3 1.23-03 1.42-01 3.87-01 7.96-01 1.03+00 1.12+00 9.57-01 7.16-01 4.79-01 2.34-01 1.26-01 6.53-02
  11   3 7.38+07 1.45-01 3.67-01 7.39-01 1.19+00 2.14+00 5.50+00 1.11+01 1.98+01 3.57+01 4.96+01 6.46+01
  12   3 1.69-02 9.90-02 1.88-01 2.69-01 2.85-01 2.67-01 2.04-01 1.45-01 9.30-02 4.44-02 2.37-02 1.22-02
  13   3 7.92+06 7.98-02 1.37-01 2.15-01 2.78-01 3.57-01 5.16-01 7.20-01 9.93-01 1.23+00 1.33+00 1.38+00
  14   3 2.47-08 2.64-01 3.90-01 4.84-01 4.86-01 4.37-01 3.20-01 2.24-01 1.44-01 6.92-02 3.70-02 1.92-02
  15   3 6.43+00 1.20-01 1.95-01 3.24-01 4.73-01 6.91-01 1.01+00 1.19+00 1.29+00 1.37+00 1.40+00 1.41+00
  16   3 8.59-03 1.43-01 2.08-01 2.84-01 3.22-01 3.27-01 2.72-01 2.04-01 1.39-01 6.97-02 3.78-02 1.97-02
  17   3 9.52-09 3.49-02 5.94-02 9.68-02 1.24-01 1.37-01 1.18-01 8.74-02 5.74-02 2.80-02 1.50-02 7.81-03
  18   3 4.49+01 1.49-01 2.25-01 3.16-01 3.99-01 5.39-01 8.75-01 1.21+00 1.51+00 1.77+00 1.87+00 1.92+00
  19   3 4.66+07 5.87-02 1.16-01 2.34-01 3.89-01 7.02-01 1.79+00 3.64+00 6.63+00 1.23+01 1.73+01 2.27+01
  20   3 8.95-03 3.05-11 4.97-11 1.04-10 1.91-10 3.57-10 7.94-10 1.34-09 2.07-09 3.22-09 4.15-09 5.09-09
  21   3 1.36+07 1.68-01 2.36-01 3.93-01 5.64-01 7.62-01 1.02+00 1.19+00 1.35+00 1.57+00 1.77+00 2.03+00
  22   3 4.89-08 1.21-10 1.73-10 2.93-10 4.25-10 5.80-10 7.86-10 9.13-10 1.00-09 1.09-09 1.14-09 1.18-09
  23   3 8.47+02 5.15-01 7.10-01 1.14+00 1.60+00 2.12+00 2.86+00 3.49+00 4.22+00 5.31+00 6.09+00 6.77+00
  24   3 2.53-03 3.76-10 5.44-10 9.54-10 1.47-09 2.22-09 3.75-09 5.40-09 7.35-09 1.01-08 1.20-08 1.37-08
  25   3 2.13-08 1.20-11 1.62-11 2.59-11 3.88-11 6.16-11 1.13-10 1.58-10 1.96-10 2.32-10 2.51-10 2.67-10
  26   3 1.09+02 6.80-02 1.05-01 2.02-01 3.29-01 5.16-01 8.44-01 1.10+00 1.29+00 1.46+00 1.53+00 1.58+00
  27   3 3.11+08 3.95+00 5.72+00 1.00+01 1.54+01 2.28+01 3.66+01 5.03+01 6.73+01 9.52+01 1.20+02 1.49+02
   5   4 1.00-30 2.04-01 4.11-01 7.64-01 9.58-01 9.70-01 7.78-01 5.95-01 4.30-01 2.09-01 1.11-01 5.72-02
   6   4 1.00-30 2.52+00 3.36+00 3.89+00 3.56+00 2.78+00 1.65+00 1.00+00 5.75-01 2.51-01 1.29-01 6.56-02
   7   4 1.15+07 2.73+00 7.88+00 1.97+01 3.59+01 6.81+01 1.57+02 2.69+02 4.13+02 6.09+02 7.58+02 9.08+02
   8   4 1.00-30 1.79-03 8.64-03 2.78-02 5.26-02 9.94-02 2.12-01 3.23-01 3.98-01 4.49-01 4.67-01 4.76-01
   9   4 1.39-01 7.47-02 2.08-01 4.91-01 6.91-01 7.74-01 6.60-01 4.87-01 3.19-01 1.51-01 7.95-02 4.08-02
  10   4 1.38+01 1.01+00 3.33+00 9.35+00 1.64+01 2.53+01 3.81+01 4.82+01 5.80+01 6.53+01 6.79+01 6.93+01
  11   4 1.00-30 1.99-01 4.12-01 6.73-01 7.63-01 7.33-01 5.45-01 3.73-01 2.31-01 1.06-01 5.59-02 2.87-02
  12   4 1.11-30 6.17-01 1.30+00 2.20+00 2.58+00 2.86+00 3.91+00 5.75+00 8.37+00 1.05+01 1.12+01 1.16+01
  13   4 1.00-30 8.63-02 1.68-01 2.55-01 2.61-01 2.22-01 1.43-01 9.26-02 5.70-02 2.63-02 1.38-02 7.08-03
  14   4 8.58+04 7.74-01 1.26+00 1.89+00 2.49+00 3.40+00 5.15+00 6.61+00 7.88+00 8.86+00 9.22+00 9.42+00
  15   4 6.61-03 8.04-02 1.57-01 2.47-01 2.74-01 2.58-01 1.91-01 1.32-01 8.39-02 3.95-02 2.09-02 1.08-02
  16   4 2.93+00 9.65-01 1.35+00 1.66+00 1.78+00 1.87+00 2.02+00 2.25+00 2.58+00 2.85+00 2.96+00 3.01+00
  17   4 1.00-30 3.95-01 7.75-01 1.59+00 2.50+00 3.72+00 5.80+00 7.47+00 8.71+00 9.65+00 1.00+01 1.02+01
  18   4 1.00-30 1.46-01 2.11-01 2.70-01 2.88-01 2.75-01 2.10-01 1.47-01 9.34-02 4.40-02 2.33-02 1.20-02
  19   4 3.01-28 5.22-02 9.70-02 1.58-01 1.81-01 1.74-01 1.29-01 8.91-02 5.60-02 2.62-02 1.39-02 7.14-03
  20   4 3.61-30 3.04-01 4.74-01 8.73-01 1.32+00 1.87+00 2.66+00 3.21+00 3.68+00 4.12+00 4.34+00 4.49+00
  22   4 7.59+05 5.67-01 8.12-01 1.33+00 1.81+00 2.30+00 2.85+00 3.21+00 3.54+00 4.00+00 4.38+00 4.79+00
  23   4 3.64-04 1.63-12 3.40-12 9.18-12 1.94-11 3.86-11 8.25-11 1.30-10 1.87-10 2.73-10 3.42-10 4.13-10
  24   4 8.12-01 3.33-01 4.37-01 6.26-01 7.65-01 8.70-01 9.59-01 9.99-01 1.02+00 1.04+00 1.05+00 1.05+00
  25   4 1.00-30 1.00-30 1.00-30 1.00-30 1.00-30 1.00-30 1.00-30 1.00-30 1.00-30 1.00-30 1.00-30 1.00-30
  27   4 5.32-29 5.18-30 6.75-30 9.65-30 1.18-29 1.34-29 1.49-29 1.55-29 1.59-29 1.61-29 1.62-29 1.63-29
  28   4 1.00-30 1.00-30 1.00-30 1.00-30 1.00-30 1.00-30 1.00-30 1.00-30 1.00-30 1.00-30 1.00-30 1.00-30
   6   5 3.62+01 8.96-01 1.37+00 1.81+00 1.90+00 2.00+00 2.47+00 3.14+00 4.01+00 4.61+00 4.81+00 4.91+00
   7   5 1.83-03 6.95-01 1.38+00 1.96+00 1.98+00 1.72+00 1.17+00 7.78-01 4.77-01 2.16-01 1.12-01 5.72-02
   8   5 3.42-09 2.03-03 1.08-02 3.59-02 5.35-02 5.82-02 4.54-02 3.18-02 2.04-02 9.46-03 4.96-03 2.54-03
   9   5 6.13+06 3.87-01 1.55+00 5.88+00 1.31+01 2.68+01 6.13+01 1.03+02 1.54+02 2.22+02 2.73+02 3.24+02
  10   5 1.00-30 3.33-01 7.87-01 1.33+00 1.45+00 1.31+00 9.02-01 5.98-01 3.66-01 1.66-01 8.68-02 4.43-02
  11   5 1.00-30 1.30-01 5.37-01 1.83+00 3.63+00 6.23+00 1.07+01 1.46+01 1.83+01 2.10+01 2.20+01 2.25+01
  12   5 1.00-30 1.17-01 2.15-01 3.01-01 3.06-01 2.62-01 1.73-01 1.14-01 7.15-02 3.32-02 1.74-02 8.94-03
  13   5 1.00-30 1.60-01 2.91-01 4.82-01 6.22-01 8.42-01 1.55+00 2.52+00 3.73+00 4.66+00 5.00+00 5.17+00
  14   5 2.92-03 2.19-01 3.14-01 3.64-01 3.46-01 2.98-01 2.08-01 1.40-01 8.56-02 3.91-02 2.05-02 1.05-02
  15   5 4.40+05 8.08-02 1.89-01 3.95-01 5.95-01 8.51-01 1.23+00 1.46+00 1.66+00 1.99+00 2.28+00 2.58+00
  16   5 1.00-30 1.64-01 2.28-01 2.76-01 2.69-01 2.35-01 1.64-01 1.11-01 6.89-02 3.19-02 1.68-02 8.60-03
  17   5 1.00-30 8.12-02 1.57-01 2.67-01 3.18-01 3.15-01 2.40-01 1.68-01 1.06-01 4.95-02 2.61-02 1.34-02
  18   5 1.00-30 1.96-01 3.71-01 7.60-01 1.26+00 1.97+00 3.15+00 4.00+00 4.58+00 5.00+00 5.16+00 5.24+00
  19   5 1.33+01 3.78-02 7.41-02 1.57-01 2.59-01 4.05-01 6.80-01 9.80-01 1.35+00 1.65+00 1.76+00 1.81+00
  21   5 1.00-30 2.28-01 3.37-01 5.48-01 7.25-01 8.80-01 1.02+00 1.08+00 1.12+00 1.14+00 1.15+00 1.15+00
  22   5 7.95-05 5.18-13 1.13-12 3.25-12 7.17-12 1.50-11 3.62-11 6.50-11 1.08-10 1.86-10 2.59-10 3.42-10
  23   5 1.29+06 6.77-01 9.79-01 1.59+00 2.13+00 2.66+00 3.20+00 3.47+00 3.66+00 3.90+00 4.13+00 4.41+00
  24   5 6.08-28 3.73-28 5.07-28 7.42-28 9.07-28 1.03-27 1.13-27 1.17-27 1.20-27 1.22-27 1.23-27 1.24-27
  27   5 3.29+01 7.39-01 9.89-01 1.43+00 1.75+00 1.98+00 2.16+00 2.27+00 2.36+00 2.48+00 2.56+00 2.62+00
   7   6 1.00-30 1.18+00 3.32+00 6.34+00 6.94+00 5.92+00 3.70+00 2.29+00 1.33+00 5.82-01 2.99-01 1.52-01
   8   6 1.29-06 8.52-02 3.12-01 8.96-01 1.48+00 2.04+00 2.35+00 2.08+00 1.55+00 7.63-01 4.06-01 2.09-01
   9   6 7.26+05 1.01+00 4.02+00 1.35+01 2.58+01 4.30+01 7.37+01 1.03+02 1.35+02 1.76+02 2.05+02 2.34+02
  10   6 1.00-30 7.17-01 2.00+00 4.02+00 4.90+00 4.76+00 3.54+00 2.50+00 1.64+00 7.70-01 4.05-01 2.08-01
  11   6 1.00-30 8.26-01 2.36+00 5.41+00 8.63+00 1.30+01 1.99+01 2.45+01 2.77+01 2.99+01 3.07+01 3.11+01
  12   6 1.00-30 1.64-01 3.73-01 6.27-01 6.68-01 5.78-01 3.77-01 2.40-01 1.41-01 6.25-02 3.24-02 1.65-02
  13   6 2.11-07 3.06-01 6.30-01 1.11+00 1.44+00 1.68+00 1.80+00 1.71+00 1.51+00 1.36+00 1.30+00 1.27+00
  14   6 5.71-03 7.47-01 1.23+00 1.58+00 1.52+00 1.25+00 7.99-01 5.08-01 3.00-01 1.34-01 6.96-02 3.55-02
  15   6 6.78+05 4.29-01 8.64-01 1.58+00 2.20+00 2.92+00 4.09+00 5.18+00 6.39+00 7.30+00 7.64+00 7.81+00
  16   6 1.00-30 6.98-01 9.61-01 1.17+00 1.17+00 1.05+00 7.64-01 5.42-01 3.58-01 1.71-01 9.10-02 4.69-02
  17   6 1.52-25 1.96-01 3.46-01 5.27-01 5.90-01 5.71-01 4.42-01 3.16-01 2.03-01 9.55-02 5.04-02 2.59-02
  18   6 7.53+06 7.94-01 1.36+00 2.26+00 2.93+00 3.92+00 7.62+00 1.44+01 2.51+01 4.29+01 5.77+01 7.32+01
  19   6 5.50-01 3.38-01 6.57-01 1.22+00 1.75+00 2.36+00 3.17+00 3.54+00 3.60+00 3.62+00 3.62+00 3.63+00
  20   6 1.46-28 6.91-29 1.47-28 3.36-28 5.33-28 7.46-28 1.00-27 1.15-27 1.26-27 1.35-27 1.40-27 1.43-27
  21   6 9.93-01 1.17+00 1.77+00 2.78+00 3.62+00 4.40+00 5.21+00 5.62+00 5.89+00 6.10+00 6.19+00 6.24+00
  22   6 8.99-04 1.92-09 2.87-09 4.74-09 6.56-09 8.64-09 1.17-08 1.41-08 1.66-08 1.99-08 2.24-08 2.49-08
  23   6 1.32+07 5.30+00 8.91+00 1.72+01 2.71+01 4.14+01 6.82+01 9.45+01 1.26+02 1.73+02 2.13+02 2.54+02
  24   6 8.77-28 2.45-26 3.56-26 5.20-26 6.35-26 7.29-26 8.17-26 8.60-26 8.88-26 9.10-26 9.18-26 9.24-26
  25   6 1.96-22 5.51-30 2.85-29 2.61-28 9.81-28 2.76-27 7.63-27 1.35-26 2.12-26 3.36-26 4.42-26 5.54-26
  26   6 4.24+06 1.01+01 1.42+01 2.12+01 2.81+01 3.73+01 5.30+01 6.65+01 8.03+01 9.78+01 1.10+02 1.22+02
  27   6 1.67+01 2.79+01 4.15+01 6.53+01 8.66+01 1.09+02 1.38+02 1.56+02 1.70+02 1.84+02 1.91+02 1.96+02
  28   6 2.57-28 2.60-29 5.19-29 1.74-28 3.87-28 7.12-28 1.23-27 1.60-27 1.91-27 2.20-27 2.35-27 2.46-27
  29   6 1.29+01 2.19+01 3.60+01 6.27+01 8.63+01 1.09+02 1.35+02 1.49+02 1.59+02 1.67+02 1.71+02 1.74+02
   8   7 4.41+00 9.44-01 1.04+00 9.33-01 8.33-01 8.43-01 1.02+00 1.21+00 1.37+00 1.47+00 1.51+00 1.53+00
   9   7 5.97-09 7.08-01 2.16+00 4.41+00 5.15+00 4.76+00 3.41+00 2.40+00 1.60+00 7.48-01 3.93-01 2.01-01
  10   7 1.92+06 9.55+00 3.49+01 1.26+02 2.60+02 4.69+02 8.89+02 1.33+03 1.83+03 2.46+03 2.92+03 3.37+03
  11   7 1.00-30 9.51-01 2.54+00 4.79+00 5.37+00 4.83+00 3.26+00 2.13+00 1.28+00 5.74-01 2.98-01 1.52-01
  12   7 1.00-30 2.21+00 5.00+00 1.21+01 2.21+01 4.01+01 8.80+01 1.52+02 2.39+02 3.65+02 4.63+02 5.62+02
  13   7 1.54-01 4.34-01 6.53-01 8.78-01 9.15-01 8.11-01 5.45-01 3.50-01 2.05-01 9.06-02 4.68-02 2.38-02
  14   7 6.75+00 7.24+00 1.11+01 1.55+01 1.97+01 2.79+01 4.79+01 6.77+01 8.71+01 1.01+02 1.06+02 1.09+02
  15   7 1.34-07 4.69-01 9.52-01 1.54+00 1.67+00 1.49+00 1.01+00 6.67-01 4.09-01 1.86-01 9.74-02 4.98-02
  16   7 4.63+06 6.30+00 9.16+00 1.26+01 1.47+01 1.70+01 2.40+01 3.74+01 5.99+01 1.02+02 1.39+02 1.79+02
  17   7 3.39+01 3.22+00 6.75+00 1.50+01 2.51+01 4.01+01 7.23+01 1.05+02 1.37+02 1.61+02 1.69+02 1.73+02
  18   7 2.26-07 7.55-01 1.32+00 1.93+00 2.09+00 1.91+00 1.35+00 9.06-01 5.53-01 2.52-01 1.31-01 6.72-02
  19   7 1.07-03 2.52-01 4.98-01 8.44-01 9.58-01 8.95-01 6.44-01 4.36-01 2.69-01 1.23-01 6.46-02 3.30-02
  20   7 4.91+06 5.80-01 1.18+00 2.87+00 5.20+00 8.60+00 1.46+01 1.99+01 2.56+01 3.34+01 3.94+01 4.55+01
  21   7 5.25-02 1.05-09 2.12-09 5.06-09 9.00-09 1.48-08 2.55-08 3.60-08 4.86-08 6.78-08 8.39-08 1.01-07
  22   7 1.06+00 2.33+00 3.75+00 6.68+00 9.46+00 1.23+01 1.55+01 1.72+01 1.84+01 1.93+01 1.97+01 1.99+01
  23   7 3.55-07 9.15-09 1.48-08 2.77-08 4.22-08 6.08-08 8.96-08 1.12-07 1.31-07 1.51-07 1.62-07 1.69-07
  24   7 1.92+06 9.29-01 1.20+00 1.77+00 2.66+00 4.42+00 8.77+00 1.36+01 1.96+01 2.85+01 3.58+01 4.33+01
  25   7 6.23+00 5.90+00 8.88+00 1.48+01 2.01+01 2.55+01 3.16+01 3.49+01 3.73+01 3.91+01 3.99+01 4.04+01
  26   7 1.50-07 5.45-09 8.31-09 1.38-08 1.86-08 2.36-08 3.00-08 3.45-08 3.85-08 4.27-08 4.49-08 4.66-08
  27   7 1.13-01 3.96-10 7.92-10 2.19-09 5.03-09 1.16-08 3.23-08 6.24-08 1.08-07 1.93-07 2.73-07 3.63-07
  28   7 1.00-30 1.00-30 1.00-30 1.00-30 1.00-30 1.00-30 1.00-30 1.00-30 1.00-30 1.00-30 1.00-30 1.00-30
   9   8 1.00-30 4.54-02 1.33-01 2.75-01 3.49-01 3.77-01 3.33-01 2.55-01 1.73-01 8.12-02 4.26-02 2.18-02
  10   8 1.00-30 2.06-02 5.87-02 1.32-01 2.11-01 3.45-01 6.55-01 9.52-01 1.14+00 1.26+00 1.30+00 1.32+00
  11   8 1.00-30 4.95-02 1.26-01 2.49-01 3.56-01 4.64-01 5.31-01 4.80-01 3.69-01 1.86-01 9.95-02 5.15-02
  12   8 1.00-30 1.12-02 1.78-02 2.55-02 3.17-02 3.85-02 4.47-02 4.80-02 4.89-02 4.94-02 4.95-02 4.96-02
  13   8 1.18-06 3.92-02 4.44-02 5.24-02 5.43-02 4.84-02 3.27-02 2.11-02 1.26-02 5.63-03 2.92-03 1.49-03
  14   8 1.90+02 4.66-02 6.26-02 7.77-02 8.98-02 1.12-01 1.53-01 1.81-01 2.02-01 2.17-01 2.22-01 2.24-01
  15   8 4.77+00 6.05-02 8.75-02 1.14-01 1.28-01 1.36-01 1.21-01 9.31-02 6.29-02 3.01-02 1.60-02 8.21-03
  16   8 3.04-29 3.33-02 4.60-02 6.25-02 8.61-02 1.30-01 2.20-01 3.00-01 3.49-01 3.82-01 3.94-01 4.00-01
  17   8 7.67-25 8.05-03 1.37-02 2.30-02 3.49-02 5.11-02 6.49-02 6.51-02 5.77-02 5.17-02 4.95-02 4.84-02
  18   8 1.55+01 2.33-02 3.79-02 5.27-02 5.86-02 5.80-02 4.52-02 3.14-02 1.94-02 8.87-03 4.64-03 2.37-03
